Title,Location,Description,nTile10,nTile25,nTile50,nTile75,nTile90
Data Engineer,New Jersey,,94546,110332,127672,146653,163934
Data Engineer,Connecticut,,92562,108017,124993,143576,160495
Data Engineer,California,,94726,110543,127915,146933,164247
Data Engineer,Utah,,81261,94829,109732,126046,140900
Data Engineer,Colorado,,86765,101252,117165,134584,150443
Data Engineer,Nebraska,,80581,94036,108815,124993,139722
Data Engineer,Missouri,,81831,95495,110502,126931,141888
Data Engineer,Kentucky,,80813,94307,109128,125352,140124
Data Engineer,West Virginia,,77333,90246,104429,119955,134090
Data Engineer,Virginia,,85365,99619,115274,132413,148016
Data Engineer,Maryland,,88548,103333,119572,137349,153535
Data Engineer,Delaware,,87727,102375,118464,136076,152111
Data Engineer,Arizona,,84111,98155,113581,130468,145842
Data Engineer,New Mexico,,79216,92443,106971,122875,137354
Data Engineer,Kansas,,81775,95429,110427,126844,141792
Data Engineer,Arkansas,,78263,91330,105684,121396,135701
Data Engineer,Tennessee,,78950,92132,106611,122462,136892
Data Engineer,North Carolina,,82445,96211,111331,127883,142953
Data Engineer,South Carolina,,81080,94619,109489,125767,140587
Data Engineer,District of Columbia,,95602,111565,129098,148291,165766
Data Engineer,Oklahoma,,79406,92664,107227,123169,137683
Data Engineer,Louisiana,,81655,95289,110265,126658,141583
Data Engineer,Mississippi,,76588,89376,103422,118798,132797
Data Engineer,Alabama,,78898,92072,106542,122382,136803
Data Engineer,Georgia,,83332,97246,112529,129259,144491
Data Engineer,Hawaii,,90106,105151,121676,139766,156236
Data Engineer,Texas,,84420,98516,113999,130947,146378
Data Engineer,Florida,,81586,95209,110172,126551,141464
Title,Location,Description,nTile10,nTile25,nTile50,nTile75,nTile90
Data Architect,Alaska,,111010,125499,141413,158698,174434
Data Architect,Maine,,98088,110890,124952,140224,154129
Data Architect,Vermont,,97986,110775,124822,140079,153969
Data Architect,New Hampshire,,103094,116550,131329,147381,161995
Data Architect,Washington,,109168,123417,139067,156065,171541
Data Architect,Idaho,,94471,106802,120345,135055,148447
Data Architect,Montana,,93019,105160,118496,132979,146165
Data Architect,North Dakota,,97701,110453,124459,139672,153522
Data Architect,Minnesota,,104274,117884,132833,149068,163850
Data Architect,Illinois,,104549,118195,133183,149461,164282
Data Architect,Wisconsin,,100224,113306,127674,143279,157487
Data Architect,Michigan,,100914,114086,128553,144265,158571
Data Architect,New York,,108578,122750,138315,155221,170613
Data Architect,Rhode Island,,106635,120553,135840,152443,167559
Data Architect,Massachusetts,,110735,125188,141063,158305,174003
Data Architect,Oregon,,102300,115652,130318,146246,160748
Data Architect,Nevada,,102849,116274,131018,147032,161612
Data Architect,Wyoming,,93590,105806,119223,133795,147062
Data Architect,South Dakota,,89663,101366,114219,128180,140891
Data Architect,Iowa,,97375,110085,124045,139206,153010
Data Architect,Indiana,,99227,112178,126404,141853,155920
Data Architect,Ohio,,99794,112819,127126,142664,156810
Data Architect,Pennsylvania,,101547,114801,129359,145170,159565
Data Architect,New Jersey,,112017,126638,142697,160138,176017
Data Architect,Connecticut,,109667,123981,139702,156778,172324
Data Architect,California,,112231,126879,142969,160443,176353
Data Architect,Utah,,96277,108844,122646,137637,151285
Data Architect,Colorado,,102799,116216,130953,146959,161532
Data Architect,Nebraska,,95473,107934,121621,136486,150020
Data Architect,Missouri,,96953,109607,123507,138602,152346
Data Architect,Kentucky,,95747,108244,121971,136879,150452
Data Architect,West Virginia,,91624,103583,116719,130985,143973
Data Architect,Virginia,,101140,114341,128840,144588,158926
Data Architect,Maryland,,104911,118604,133644,149979,164851
Data Architect,Delaware,,103938,117504,132405,148588,163322
Data Architect,Arizona,,99655,112662,126948,142464,156591
Data Architect,New Mexico,,93855,106105,119560,134173,147478
Data Architect,Kansas,,96887,109533,123422,138508,152242
Data Architect,Arkansas,,92725,104828,118121,132559,145703
Data Architect,Tennessee,,93539,105748,119158,133722,146982
Data Architect,North Carolina,,97681,110430,124433,139642,153490
Data Architect,South Carolina,,96064,108602,122374,137331,150949
Data Architect,District of Columbia,,113269,128053,144291,161927,177984
Data Architect,Oklahoma,,94080,106359,119846,134495,147831
Data Architect,Louisiana,,96744,109372,123241,138304,152019
Data Architect,Mississippi,,90741,102585,115593,129722,142585
Data Architect,Alabama,,93478,105679,119080,133635,146886
Data Architect,Georgia,,98732,111618,125772,141145,155141
Data Architect,Hawaii,,106757,120691,135995,152618,167751
Data Architect,Texas,,100021,113076,127415,142988,157167
